House: Gryffindor | action: give | 1 points | Given by: mczolly | Reason:  | Sun Jan 27 09:30:17 2019 
House: Gryffindor | action: add | 7 points | Given by: emphus | Reason: AJ got a PB in HP6 any%, advancing to 9th position (5+2 bonus for the length of the run) | Mon May  6 14:36:40 2019 
House: Slytherin | action: add | 6 points | Given by: Emphus | Reason: Nickie got 20th place in HP3 All Requirements with 1.35.35 (5 for PB + 1 for the length) | Sat May 11 05:13:40 2019 
House: Slytherin | action: add | 6 points | Given by: Emphus | Reason: Nickie got 23rd place in HP2 Glichless with 1.00.23 (5 for PB + 1 for the length) | Sat May 11 05:15:23 2019 
House: Ravenclaw | action: add | 6 points | Given by: Emphus | Reason: Coffee got 3rd place in HP7.2 100% with 1.50.52 (5 for first ever run + 1 for the length) | Sat May 11 05:17:47 2019 
House: Gryffindor | action: add | 11 points | Given by: Emphus | Reason: Nixxo got WR in HP4 any% with 1.05.10 (5 for PB + 5 for WR + 1 for the length) | Sat May 11 05:19:28 2019 
House: Gryffindor | action: add | 11 points | Given by: Emphus | Reason: Nixxo got WR in HP7.2 any% NG+ with 1.10.10 (5 for PB + 5 for WR + 1 for the length) | Sat May 11 05:22:04 2019 
House: Gryffindor | action: add | 6 points | Given by: Emphus | Reason: Cat got 3rd place in HP7.2 any%ng+ with 1.10.40 (5 for PB + 1 for the length) | Sun May 12 15:35:48 2019 
House: Gryffindor | action: add | 6 points | Given by: mczolly | Reason: AJ got a new PB in HP6 Any% with 2:29:16 (5 for PB + 1 for the length) | Mon May 13 13:57:45 2019 
House: Ravenclaw | action: add | 5 points | Given by: mczolly | Reason: Morpha got a RE7 - No Guest House PC Easy NG+ PB with 1:10:02 (This is his first time) (5 for PB) | Mon May 13 14:01:05 2019 
House: Gryffindor | action: add | 1 points | Given by: mczolly | Reason: Correction: AJ gets an extra point for the length. | Mon May 13 14:50:09 2019 
House: Ravenclaw | action: add | 1 points | Given by: mczolly | Reason: Correction: Morpha gets an extra point for the length. | Mon May 13 14:50:54 2019 
House: Hufflepuff | action: add | 5 points | Given by: mczolly | Reason: Zolly got SubAJ in QWC World Cup% with 31:53 (5 points for getting a new position on the leaderboard) | Tue May 14 19:20:12 2019 
House: Gryffindor | action: add | 7 points | Given by: mczolly | Reason: Cat got a PB in HP5 Any% with 2:08:19 (5 points for PB + 2 for length) | Tue May 14 19:51:10 2019 
House: Gryffindor | action: add | 5 points | Given by: mczolly | Reason: Nixxo got a really good position on his second QWC WC Any% run with 33:56 (5 points for PB) | Tue May 14 20:33:30 2019 
House: Ravenclaw | action: add | 2 points | Given by: Emphus | Reason: Morpha got 4th place in RE7 DLC: Daughters, PC, True ending with 8:22.333 (2 points for PB) | Wed May 15 07:42:26 2019 
House: Ravenclaw | action: add | 2 points | Given by: Emphus | Reason: Morpha got 4th place in RE7 DLC: Daughters, PC, Bad ending with 7:20.866 (2 points for PB) | Wed May 15 07:43:02 2019 
House: Ravenclaw | action: add | 7 points | Given by: mczolly | Reason: Marek got an hp1 any% PB with 2:02:07 (5 for the pb + 2 for the length) | Wed May 15 12:40:42 2019 
House: Ravenclaw | action: add | 2 points | Given by: Emphus | Reason: Morpha got 2nd place in RE7 DLC: Daughters, PC, Bad ending with 7:20.133 (2 points for PB) | Fri May 17 08:23:07 2019 
House: Ravenclaw | action: add | 5 points | Given by: Emphus | Reason: Marc got a WR in HP5 any% with 2:06:27 (no advancement on the leaderboard + 5 for the WR) | Fri May 17 08:27:39 2019 
House: Gryffindor | action: add | 7 points | Given by: Emphus | Reason: Cat got 2nd place in HP5 any% with 2:07:50 (5 for PB + 2 for the length) | Fri May 17 21:30:39 2019 
House: Ravenclaw | action: add | 5 points | Given by: Emphus | Reason: Marc got a WR in HP5 any% with 2:05:45 (no advancement on the leaderboard + 5 for the WR) | Sat May 18 21:23:32 2019 
House: Ravenclaw | action: add | 5 points | Given by: Emphus | Reason: Morpha got 4th place in Resident Evil 7 - Not a Hero DLC with 24:11 (5 for the PB) | Sat May 18 21:25:52 2019 
House: Slytherin | action: add | 5 points | Given by: Emphus | Reason: Nickie got 22nd place in HP2 glichless with 59:11 (5 for the PB) | Sun May 19 10:06:36 2019 
House: Ravenclaw | action: add | 6 points | Given by: Emphus | Reason: Morpha got 29th in HP2 glitchless with 1:22:18 (5 for the first ever run + 1 for the length) | Sun May 19 14:52:04 2019 
House: Gryffindor | action: add | 11 points | Given by: Emphus | Reason: AJ got 4th place in HP6 100% with 6:56:23 (5 for first ever run + 6 for the length) | Sun May 19 19:41:44 2019 
House: Gryffindor | action: add | 7 points | Given by: Emphus | Reason: AJ got 4th place in HP any% with 2:27:34 (5 for the PB and 2 for the length) | Sun May 19 19:42:46 2019 
House: Gryffindor | action: add | 9 points | Given by: Emphus | Reason: Cat go 2nd place in HP6 100% with 4:51:43 (5 for first ever run + 4 for the length) | Mon May 20 21:20:30 2019 
House: Slytherin | action: add | 5 points | Given by: Emphus | Reason: Cookie got 14th place in HP2 glichless with 50:13 (5 for first run) | Tue May 21 16:24:20 2019 
House: Gryffindor | action: add | 9 points | Given by: Emphus | Reason: Nixxo got a WR in HP7.2 100% with 1:42:40 (5 for PB + 3 for WR + 1 for the length) | Wed May 22 10:52:12 2019 
House: Slytherin | action: add | 5 points | Given by: Emphus | Reason: Nickie got 28th in HP2 any% (5 for first PB) | Wed May 22 13:27:11 2019 
House: Ravenclaw | action: add | 3 points | Given by: Emphus | Reason: Morpha got 3rd place in SpongeBob Multplayer bronze-easy/silly with 1:46:45 (base points: 5 for PB+1 for lenght, so roundup(6/2)=3 for co-op) | Wed May 22 16:53:36 2019 
House: Gryffindor | action: add | 3 points | Given by: Emphus | Reason: Nixxo got 3rd place in SpongeBob Multplayer bronze-easy/silly with 1:46:45 (base points: 5 for PB+1 for lenght, so roundup(6/2)=3 for co-op) | Wed May 22 16:53:46 2019 
House: Gryffindor | action: add | 6 points | Given by: Emphus | Reason: Nixxo got 4th place in HP1 AWC with 1:39:52 (5 for PB + 1 for the length) | Wed May 22 20:19:38 2019 
House: Hufflepuff | action: add | 6 points | Given by: mczolly | Reason: zolly got an HP3 AllReq PB with 1:30:39 (5 for first run + 1 for length) | Thu May 23 06:21:25 2019 
House: Slytherin | action: add | 2 points | Given by: Emphus | Reason: Nickie got 4th place in The Walking Dead any% with 8:19.30 (2 for first run) | Thu May 23 21:29:44 2019 
House: Gryffindor | action: add | 10 points | Given by: Emphus | Reason: Nixxo got 2nd place in HP trifecta 100% with 5:07:36 (5 for first run + 5 for the length) | Thu May 23 21:31:19 2019 
House: Ravenclaw | action: add | 9 points | Given by: Emphus | Reason: Morpha got a WR in SpongeBob bronze-easy/silly with 1:36:34 (5 for PB + 3 for WR + 1 for the length) | Fri May 24 08:26:00 2019 
House: Ravenclaw | action: add | 11 points | Given by: Emphus | Reason: Morpha got a WR in SpongeBob bronze-easy/silly with 1:35:31 (5 for PB + 5 for WR + 1 for the length) | Fri May 24 08:27:26 2019 
House: Ravenclaw | action: add | 2 points | Given by: Emphus | Reason: Morpha got 2nd place in SpongeBob FlorIt! any% easy/silly with 3:26 (2 for first run) | Fri May 24 08:28:42 2019 
House: Ravenclaw | action: add | 5 points | Given by: Emphus | Reason: Marc got 20th place in HP2 glichless with 55:09 (5 for first run) | Fri May 24 08:35:45 2019 
House: Slytherin | action: add | 5 points | Given by: mczolly | Reason: Cookie got a 49:33 in HP2 Glitchess (5 for PB) | Sat May 25 12:57:38 2019 
House: Ravenclaw | action: add | 6 points | Given by: mczolly | Reason: Morpha got an HP2 Glitchless PB with 1:01:40 (5 for PB + 1 for length) | Sat May 25 12:58:42 2019 
House: Ravenclaw | action: add | 7 points | Given by: mczolly | Reason: Coffee got 25th place in HP6 Any% with 2:48:50 (5 for first submitted run + 2 for length) | Mon May 27 18:48:17 2019 
House: Ravenclaw | action: add | 5 points | Given by: Emphus | Reason: Morpha got 23rd place in HP2 glitchless with 57:11 (5 for PB) | Tue May 28 22:08:53 2019 
House: Ravenclaw | action: add | 7 points | Given by: Emphus | Reason: Coffee got 18th place in HP6 any% with 2:42:21 (5 for PB+2 for the length) | Tue May 28 23:12:57 2019 
House: Slytherin | action: add | 5 points | Given by: mczolly | Reason: Cookie got 11th place in HP2 any% with 37:26 (5 for PB) | Wed May 29 22:26:03 2019 
House: Ravenclaw | action: add | 7 points | Given by: Emphus | Reason: Coffee got 15th place in HP6 any% with 2:36:08 (5 for PB+2 for the length) | Thu May 30 19:15:35 2019 
House: Slytherin | action: add | 5 points | Given by: Emphus | Reason: Nickie got 20th place in HP2 glitchless with 54:20 (5 for PB) | Fri May 31 08:06:33 2019 
House: Slytherin | action: add | 12 points | Given by: Emphus | Reason: Nickie got 2nd place in The Walking Dead any% with 7:20:12 (5 for PB + 7 for the length) | Sat Jun  1 09:10:28 2019 
House: Ravenclaw | action: add | 11 points | Given by: Emphus | Reason: Morpha got WR in HP7.2 any% NG+ with 1:09:36 (5 for PB+5 for WR+1 for the length) | Sat Jun  1 17:11:43 2019 
House: Slytherin | action: add | 6 points | Given by: Emphus | Reason: Cookie got 3rd place in HP2 AWC with 1:14:49 (5 for PB+1 for the length) | Sat Jun  1 19:18:10 2019 
House: Gryffindor | action: add | 3 points | Given by: mczolly | Reason: AffinityCat improved his #2 place in HP5 any% by 1:24 (new PB: 2:06:34) | Tue Jun  4 16:12:05 2019 
House: Ravenclaw | action: add | 11 points | Given by: mczolly | Reason: Morpha got WR (1:08:40) in HP7.2 any% NG+ (5 for PB+1 for the length+5 for WR) | Tue Jun  4 16:16:28 2019 
House: Slytherin | action: add | 5 points | Given by: mczolly | Reason: Cookie got a 34:56 in HP2 Any% 120FPS | Tue Jun  4 16:22:29 2019 
House: Gryffindor | action: add | 8 points | Given by: mczolly | Reason: AJ got an HP6 AllCrests PB with 3:47:38 (5 for PB + 3 for length) | Wed Jun  5 19:41:52 2019 
House: Ravenclaw | action: add | 11 points | Given by: mczolly | Reason: Morpha got a new WR in HP7.2 Any% with 1:33:31 (5 for PB + 5 for WR + 1 for length) | Wed Jun  5 19:43:44 2019 
House: Slytherin | action: add | 5 points | Given by: mczolly | Reason: Cookie got an HP2 Any% PB with 35:53 (5 for PB) | Fri Jun  7 19:59:37 2019 
House: Gryffindor | action: add | 6 points | Given by: mczolly | Reason: Nixxo got HP2 100% PB with 1:28:42 | Fri Jun  7 20:07:12 2019 
House: Gryffindor | action: add | 2 points | Given by: mczolly | Reason: Nixxo improved his #3 in HP3 100% | Fri Jun  7 20:09:46 2019 
House: Ravenclaw | action: add | 11 points | Given by: mczolly | Reason: Morpha got a new WR in HP7.2 100% with 1:41:05 | Fri Jun  7 20:10:36 2019 
House: Ravenclaw | action: add | 7 points | Given by: mczolly | Reason: Morpha got a new HP6 Any% PB with 2:26:28 (5 for PB + 2 for length) | Fri Jun  7 20:14:52 2019 
House: Ravenclaw | action: add | 6 points | Given by: Emphus | Reason: Marek got 19th in HP3 any% with 1:09:20 (5 for first run+1 for the length) | Mon Jun 10 08:23:12 2019 
House: Ravenclaw | action: add | 5 points | Given by: Emphus | Reason: Marek got 16th in HP3 any% with 58:44 (5 for PB) | Mon Jun 10 08:23:35 2019 
House: Gryffindor | action: add | 5 points | Given by: Emphus | Reason: Nixxo did a significant improvement on his 3rd place in HP6 100%, getting 4:54:02 (1 for the improvement+4 for the length) | Tue Jun 11 20:58:37 2019 
House: Slytherin | action: add | 6 points | Given by: Emphus | Reason: Myelin got 7th place in HP4 any% with 1:08:52 (5 for PB+1 for the length) | Tue Jun 11 21:00:04 2019 
House: Slytherin | action: add | 8 points | Given by: Emphus | Reason: Myelin got 2nd place in HP4 100% with 3:39:03 (5 for PB+3for the length) - tho both link was for the same any% run, I think the intention was to link both of the runs | Tue Jun 11 21:03:35 2019 
House: Gryffindor | action: add | 8 points | Given by: Emphus | Reason: AJ got a WR in LEGO City Undercover any% - PC Co-op as a 2 person co-op with 9:15:58 (5 for first run+2 for WR+9 for the length split to half) | Thu Jun 13 14:40:49 2019 
House: Gryffindor | action: add | 8 points | Given by: Emphus | Reason: AJ got 6th place in LEGO Harry Potter: Years 1-4 with 4:03:03 (5 for first run+3 for the length) | Thu Jun 13 14:42:22 2019 
House: Gryffindor | action: add | 5 points | Given by: Emphus | Reason: AJ got 9th place in LEGO Harry Potter: Years 1-4 Story mode with 51:25 (5 for first run) | Thu Jun 13 14:43:31 2019 
House: Gryffindor | action: add | 5 points | Given by: Emphus | Reason: AJ got 5th place in LEGO Harry Potter: Years 1-4 Chamber of secrets Story mode with 1:06:24 (5 for first run) | Thu Jun 13 14:44:50 2019 
House: Gryffindor | action: add | 5 points | Given by: Emphus | Reason: AJ got 4th place in LEGO Harry Potter: Years 1-4 Prisoner of Azkaban Story mode with 1:05:06 (5 for first run) | Thu Jun 13 14:45:30 2019 
House: Gryffindor | action: add | 5 points | Given by: Emphus | Reason: AJ got 4th place in LEGO Harry Potter: Years 1-4 Goblet of Fire Story mode with 56:11 (5 for first run) | Thu Jun 13 14:46:03 2019 
House: Gryffindor | action: add | 2 points | Given by: Emphus | Reason: Nixxo got 3rd in HP:QWC Beat Hogwards Cup with 3:31 (2 for PB) | Thu Jun 13 15:43:22 2019 
House: Hufflepuff | action: add | 7 points | Given by: mczolly | Reason: Zokny got last place in HP7.2 100% with 2:30:25 (5 for first run, 2 for length) | Sat Jun 15 13:32:30 2019 
House: Ravenclaw | action: add | 9 points | Given by: Emphus | Reason: Coffee got 5th place in HP6 100% with 6:42:56 (5 for first run + 4 for the length) | Sun Jun 16 09:07:06 2019 
House: Slytherin | action: add | 17 points | Given by: mczolly | Reason: Myelin got two world records in HP7.1 DS (7+2 points for the first one, 6+2 for the other one) | Sat Jun 29 07:24:22 2019 
House: Ravenclaw | action: add | 12 points | Given by: mczolly | Reason: Marek improved his WR in HP5 Any% with the new time of 2:03:58. (5 for WR + 5 for PB + 2 for length) | Mon Jul  1 09:43:33 2019 
House: Gryffindor | action: add | 1 points | Given by: mczolly | Reason:  | Wed Jul  3 18:12:18 2019 
House: Gryffindor | action: remove | 1 points | Given by: mczolly | Reason:  | Wed Jul  3 18:12:24 2019 
House: Gryffindor | action: add | 1 points | Given by: Emphus | Reason:  | Wed Jul  3 18:15:01 2019 
House: Gryffindor | action: remove | 1 points | Given by: Emphus | Reason:  | Wed Jul  3 18:15:05 2019 
House: Slytherin | action: add | 6 points | Given by: mczolly | Reason: Myelin got a free WR in HP7.2 (DS) with 4:06:57 (2 points for free WR and 4 for length) | Sun Jul  7 16:06:37 2019 
House: Gryffindor | action: add | 6 points | Given by: mczolly | Reason: Nixxo getting back the 7.1 crown with 1:37:23 (5 points for WR and 1 point for length) | Sun Jul  7 16:08:00 2019 
House: Slytherin | action: add | 6 points | Given by: mczolly | Reason: Flo got a new WR in hp1 any% with 1:09:56 (5 for WR + 1 for length) | Sun Jul  7 16:09:16 2019 
House: Slytherin | action: add | 5 points | Given by: mczolly | Reason: Flo got a new WR in hp2 any% with 34:11 (sadly soon a wild liam appeared) | Sun Jul  7 16:10:27 2019 
House: Gryffindor | action: remove | 4 points | Given by: mczolly | Reason: AJ only gets half of the points for the LEGO City Undercover run. | Sun Jul  7 16:14:44 2019 
House: Ravenclaw | action: add | 4 points | Given by: mczolly | Reason: Morpha gets half of the points for the LEGO City Undercover run. | Sun Jul  7 16:14:58 2019 
House: Ravenclaw | action: add | 5 points | Given by: mczolly | Reason: Myelin getting 5 PB points for his run that was left out before. | Sun Jul  7 16:52:25 2019 
House: Gryffindor | action: add | 5 points | Given by: mczolly | Reason: Nixxo getting 5 PB points for his run that was left out before. | Sun Jul  7 16:52:50 2019 
House: Slytherin | action: add | 10 points | Given by: mczolly | Reason: Flo getting 10 PB points (for two runs) that was left out before. | Sun Jul  7 16:53:11 2019 
House: Ravenclaw | action: remove | 5 points | Given by: mczolly | Reason: myelin is not ravenclaw or something! | Sun Jul  7 16:56:37 2019 
House: Slytherin | action: add | 5 points | Given by: mczolly | Reason: Myelin getting 5 PB points for his run that was left out before. | Sun Jul  7 16:56:53 2019 
House: Slytherin | action: add | 6 points | Given by: Emphus | Reason: Flo got a WR in HP1 any% with 1:09:41 (0 for PB, because no advancement on the leaderboard + 5 for the WR + 1 for the ength) | Mon Jul  8 07:12:21 2019 
House: Gryffindor | action: add | 5 points | Given by: Emphus | Reason: Cookie got 8th in HP2 any% with 35:27 (5 for PB) | Mon Jul  8 07:13:48 2019 
House: Gryffindor | action: remove | 5 points | Given by: Emphus | Reason: Cookie obviously not Gryffindor | Mon Jul  8 07:19:22 2019 
House: Slytherin | action: add | 5 points | Given by: Emphus | Reason: But Slytherin instead | Mon Jul  8 07:19:35 2019 
House: Ravenclaw | action: add | 7 points | Given by: Emphus | Reason: Marc got 13th in HP6 any% with 2:34:21 (5 for PB + 2 for length) | Mon Jul  8 15:31:55 2019 
House: Gryffindor | action: add | 5 points | Given by: Emphus | Reason: AJ got 5th in HP3 any% with 48:31 (5 for PB) | Mon Jul  8 15:32:40 2019 
House: Gryffindor | action: add | 6 points | Given by: Emphus | Reason: AJ got 8th in HP3 100% with 2:02:27 (5 for first run + 1 for length) | Mon Jul  8 15:34:11 2019 
House: Gryffindor | action: add | 5 points | Given by: Emphus | Reason: Nixxo got 4th in HP2 any% with 34:53 (5 for PB) | Mon Jul  8 15:35:27 2019 
House: Gryffindor | action: add | 11 points | Given by: Emphus | Reason: Nixxo got WR in HP2 cutscene% with 1:36:39 (5 for PB + 5 for WR + 1 for length) | Mon Jul  8 15:37:37 2019 
House: Ravenclaw | action: add | 6 points | Given by: Emphus | Reason: Morpha got 47th in Halo 4 easy with 1:51:52 (5 for first run + 1 for length) | Mon Jul  8 20:00:40 2019 
House: Slytherin | action: add | 2 points | Given by: Emphus | Reason: Myelin got 58th place in Spelunky Max Hell% with 11:41.385 (2 for first run) | Mon Jul  8 20:19:33 2019 
House: Gryffindor | action: add | 11 points | Given by: Emphus | Reason: Nixxo got WR in HP7.2 with 1:32:29 (5 for PB + 5 for WR + 1 for length) | Tue Jul  9 07:15:31 2019 
House: Slytherin | action: add | 5 points | Given by: Emphus | Reason: Cookie got 5th in HP2 any% 120 FPS with 33:12 (5 for PB) | Tue Jul  9 07:17:08 2019 
House: Ravenclaw | action: add | 9 points | Given by: Emphus | Reason: Marc got 5th in HP5 100% with 5:34:39 (5 for first run + 4 for length) | Tue Jul  9 16:29:49 2019 
House: Gryffindor | action: add | 11 points | Given by: Emphus | Reason: Nixxo got WR in HP7.2 any% ng+ with 1:08:27 (5 for PB + 5 for WR + 1 for length) | Wed Jul 10 07:10:34 2019 
House: Ravenclaw | action: add | 7 points | Given by: Emphus | Reason: Marc got 11th in HP6 any% with 2:30:58 (5 for PB + 2 for length) | Wed Jul 10 14:12:26 2019 
House: Gryffindor | action: add | 3 points | Given by: Emphus | Reason: Nixxo got 4th in HP4 2 player co-op any% (5 for PB + 1 for length, divided by two players) | Thu Jul 11 07:19:20 2019 
House: Hufflepuff | action: add | 3 points | Given by: Emphus | Reason: Zolly got 4th in HP4 2 player co-op any% (5 for PB + 1 for length, divided by two players) | Fri Jul 12 07:48:44 2019 
House: Ravenclaw | action: add | 9 points | Given by: Emphus | Reason: Marc got 3rd place in HP5 100% with 4:54:56 (5 for PB + 4 for the length) | Fri Jul 12 23:06:36 2019 
House: Ravenclaw | action: add | 5 points | Given by: Emphus | Reason: Maxim got 20th in LEGO HP1 Solo, Story mode with 59:32 (5 for first run) | Sat Jul 13 08:43:58 2019 
House: Ravenclaw | action: add | 6 points | Given by: Emphus | Reason: Maxim got 12th in HP1 glichless with 2:11:29 (5 for first run + 1 for the length) | Sat Jul 13 08:44:59 2019 
House: Ravenclaw | action: add | 6 points | Given by: Emphus | Reason: Maxim got 2nd in Rock of Ages 2 any% with 2:20:54 (5 for first run + 1 for the length) | Sat Jul 13 08:46:19 2019 
House: Ravenclaw | action: add | 6 points | Given by: Emphus | Reason: Maxim got 13th in HP4 any% with 2:02:43 (5 for first run + 1 for the length) | Sat Jul 13 08:47:15 2019 
House: Ravenclaw | action: add | 5 points | Given by: mczolly | Reason: Maxiiim got a LEGO HP Year1 solo, replay story PB with 21:53 | Tue Jul 16 15:01:42 2019 
House: Gryffindor | action: add | 12 points | Given by: mczolly | Reason: AJ got 3 LEGO HP PBs: Year 1 (2), Year 2 (5), Year 4 (5) | Tue Jul 16 15:04:19 2019 
House: Ravenclaw | action: add | 6 points | Given by: mczolly | Reason: Morpha got two LEGO HP coop PBs: Year 1 (3) and Year 2 (3) | Tue Jul 16 15:06:18 2019 
House: Ravenclaw | action: add | 5 points | Given by: mczolly | Reason: Maxiiim has improved his LEGO HP Year 1 solo replay story PB | Tue Jul 16 15:09:38 2019 
House: Slytherin | action: add | 11 points | Given by: mczolly | Reason: Flo got new WR in HP1 Glitchless (1:24:06) | Tue Jul 16 15:10:57 2019 
House: Ravenclaw | action: add | 4 points | Given by: mczolly | Reason: Morpha got a LEGO HP Year 2 Coop story mode WR | Tue Jul 16 16:00:07 2019 
House: Gryffindor | action: add | 18 points | Given by: mczolly | Reason: AJ posting 3 LEGO HP runs (8+5+5), I don't even give a crap at this point jesus what category it was (none of them WR) | Wed Jul 17 11:25:53 2019 
House: Ravenclaw | action: add | 15 points | Given by: mczolly | Reason: Maxiiim got 3 LEGO HP solo any% runs | Wed Jul 17 11:33:52 2019 
House: Ravenclaw | action: add | 7 points | Given by: mczolly | Reason: Morpha's 3 coop runs with Maxiiim (3+2+2 points) | Wed Jul 17 11:45:10 2019 
House: Ravenclaw | action: add | 19 points | Given by: mczolly | Reason: Maxiim gets 4+4+3+2+2+4 points for coop runs with morpha | Wed Jul 17 11:53:09 2019 
House: Gryffindor | action: add | 6 points | Given by: Emphus | Reason: AJ got a WR in LEGO HP: years 1-4 story mode co-op with 3:49:46 (5 for PB + 3 for WR + 3 for the length - divided into two) | Tue Jul 23 13:11:17 2019 
House: Ravenclaw | action: add | 6 points | Given by: Emphus | Reason: Morpha got a WR in LEGO HP: years 1-4 story mode co-op with 3:49:46 (5 for PB + 3 for WR + 3 for the length - divided into two) | Tue Jul 23 13:11:25 2019 
House: Gryffindor | action: add | 3 points | Given by: Emphus | Reason: AJ got a 4th place in LEGO HP: sorcerer's stone story mode co-op with 50:51 (5 for PB - divided into two) | Tue Jul 23 13:12:16 2019 
House: Ravenclaw | action: add | 3 points | Given by: Emphus | Reason: Moprha got a 4th place in LEGO HP: sorcerer's stone story mode co-op with 50:51 (5 for PB - divided into two) | Tue Jul 23 13:12:25 2019 
House: Gryffindor | action: add | 4 points | Given by: Emphus | Reason: AJ got WR in LEGO HP: chamber of secrets story mode co-op with 55:39 (5 for PB + 3 for WR - divided into two) | Tue Jul 23 13:13:28 2019 
House: Ravenclaw | action: add | 4 points | Given by: Emphus | Reason: Moprha got WR in LEGO HP: chamber of secrets story mode co-op with 55:39 (5 for PB + 3 for WR - divided into two) | Tue Jul 23 13:13:34 2019 
House: Gryffindor | action: add | 4 points | Given by: Emphus | Reason: AJ got WR in LEGO HP: prisoner of azkaban story mode co-op with 1:03:26 (5 for PB +2 for WR + 1 for the length - divided into two) | Tue Jul 23 13:14:33 2019 
House: Ravenclaw | action: add | 4 points | Given by: Emphus | Reason: Moprha got WR in LEGO HP: prisoner of azkaban story mode co-op with 1:03:26 (5 for PB +2 for WR + 1 for the length - divided into two) | Tue Jul 23 13:14:42 2019 
House: Gryffindor | action: add | 4 points | Given by: Emphus | Reason: AJ got WR in LEGO HP: goblet of fire story mode co-op with 55:45 (5 for PB +2 for WR - divided into two) | Tue Jul 23 13:15:34 2019 
House: Ravenclaw | action: add | 4 points | Given by: Emphus | Reason: Moprha got WR in LEGO HP: goblet of fire story mode co-op with 55:45 (5 for PB +2 for WR - divided into two) | Tue Jul 23 13:15:40 2019 
House: Ravenclaw | action: add | 28 points | Given by: Emphus | Reason: Liam got WR in HP octofecta 100% with 21:36:08 (5 for PB + 2 for WR + 21 for the length) | Tue Jul 23 13:17:07 2019 
House: Gryffindor | action: add | 8 points | Given by: Emphus | Reason: AJ got 2nd place in LEGO HP: years 1-4 with 3:32:03 (5 for PB + 3 for the length) | Tue Jul 23 13:18:21 2019 
House: Gryffindor | action: add | 10 points | Given by: Emphus | Reason: AJ got a WR in LEGO HP2 story mode with 51:35 (5 for PB + 5 for WR) | Tue Jul 23 13:20:11 2019 
House: Ravenclaw | action: add | 9 points | Given by: Emphus | Reason: Marc got 2nd place in HP5 100% with 4:26:01 (5 for PB + 4 for the length) | Tue Jul 23 13:21:24 2019 
House: Ravenclaw | action: add | 10 points | Given by: Emphus | Reason: Moprha got a WR in LEGO HP2 with 51:14 (5 for PB + 5 for WR) | Tue Jul 23 13:22:31 2019 
House: Ravenclaw | action: add | 5 points | Given by: Emphus | Reason: Moprha got 3rd place in LEGO HP2 with 53:16 - missed this, this happened before the previous WR (5 for first run) | Tue Jul 23 13:26:03 2019 
House: Ravenclaw | action: add | 6 points | Given by: Emphus | Reason: Liam got 3rd place in HP7.1 100% with 1:58:17 (5 for first run + 1 for the length) | Tue Jul 23 13:27:03 2019 
House: Ravenclaw | action: add | 6 points | Given by: Emphus | Reason: Liam got 3rd place in HP7.2 100% with 1:58:17 (5 for first run + 1 for the length) | Tue Jul 23 13:27:42 2019 
House: Ravenclaw | action: add | 5 points | Given by: Emphus | Reason: Morpha got 6th place in LEGO HP2 story mode with 50:36 (5 for first run) | Tue Jul 23 13:29:32 2019 
House: Ravenclaw | action: add | 8 points | Given by: Emphus | Reason: Moprha got 4th place in LEGO HP: years 1-4 story mode with 3:36:38 (5 for first run + 3 for the length) | Wed Jul 24 16:15:49 2019 
House: Ravenclaw | action: add | 5 points | Given by: Emphus | Reason: Moprha got 3rd place in LEGO HP4 story mode with 52:17 (5 for first run) | Wed Jul 24 16:16:49 2019 
House: Ravenclaw | action: add | 11 points | Given by: Emphus | Reason: Liam got a WR in HP6 all crests with 3:22:09 (5 for first run + 3 for WR + 3 for the length) | Thu Jul 25 12:17:04 2019 
House: Ravenclaw | action: add | 5 points | Given by: Emphus | Reason: Morpha got 2nd in LEGO HP3 with 57:50 (5 for first run) | Thu Jul 25 13:02:50 2019 
House: Slytherin | action: add | 6 points | Given by: Emphus | Reason: Nickie got 11th place in HP7.2 any% with 2:28:08 (5 for forst run + 1 for the length) | Fri Jul 26 12:04:46 2019 
House: Gryffindor | action: add | 11 points | Given by: Emphus | Reason: Cat got a WR in HP6 all crests with 3:19:40 (5 for PB + 3 for WR + 3 for the length) | Sun Jul 28 14:58:01 2019 
House: Slytherin | action: add | 5 points | Given by: Emphus | Reason: Vector got 7th in Ys: Memories of Calceta with 1:10:31 (5 for first ever run) | Mon Jul 29 10:10:07 2019 
House: Ravenclaw | action: add | 6 points | Given by: Emphus | Reason: Marc got 18th in HP1 any% with 1:57:13 (5 for first run + 1 for the length) | Mon Jul 29 11:11:47 2019 
House: Slytherin | action: add | 5 points | Given by: Emphus | Reason: Vector got 6th place in ys: memories of calceta with 1:05:39 (5 for PB) | Tue Jul 30 18:15:16 2019 
House: Ravenclaw | action: add | 5 points | Given by: Emphus | Reason: Morpha got a PB in LEGO HP1 (5 for PB) | Tue Jul 30 18:17:55 2019 
House: Slytherin | action: add | 6 points | Given by: Emphus | Reason: Nickit got a PB in HP7.2 any% ng+ (5 for PB + 1 for the length) | Wed Jul 31 19:41:41 2019 
House: Gryffindor | action: add | 5 points | Given by: Emphus | Reason: Cat got a PB in LEGO hp1 (5 for PB) | Thu Aug  1 17:15:56 2019 
House: Ravenclaw | action: add | 5 points | Given by: Emphus | Reason: Maxim got a PB in LEGO hp1 (5 for PB) | Thu Aug  1 20:49:33 2019 
